Quels sont les quatre principaux systèmes de fichiers disponibles sous Windows Server 2016 ?;ext4, XFS, Btrfs et ZFS;FAT32, exFAT, NTFS et ReFS;FAT16, FAT32, NTFS et exFAT uniquement;NTFS, ReFS, HFS+ et APFS;3;Windows Server 2016 prend en charge quatre systèmes de fichiers principaux : FAT32 (compatibilité), exFAT (supports amovibles), NTFS (principal système, par défaut) et ReFS (Resilient File System, haute résilience). NTFS est le système proposé par défaut.
Quelles sont les deux principales limites du système de fichiers FAT32 ?;Taille maximale de fichier 4 To et taille de volume 128 To;Taille maximale de fichier 4 Go et taille de volume 2 To, sans gestion des permissions ni journalisation;Taille maximale de fichier 4 Go et absence de compression de fichiers;Taille maximale de volume 2 Go et absence de support Unicode;3;FAT32 est limité à 4 Go par fichier et 2 To par volume. Il ne gère pas les permissions (pas d'ACL) et ne dispose pas de journalisation. C'est pourquoi il est déconseillé pour les disques de serveurs Windows.
Pour quel type de support FAT32 est-il principalement recommandé ?;Les volumes système des serveurs Windows Server;Les disques de données haute performance des datacenters;Les clés USB, cartes mémoire et supports de démarrage;Les volumes RAID sous Windows Server 2016;4;FAT32 est principalement recommandé pour les clés USB, les cartes mémoire et les supports de démarrage en raison de sa compatibilité universelle. Il est déconseillé comme système de fichiers pour les disques connectés aux serveurs Windows.
Quel avantage majeur exFAT offre-t-il par rapport à FAT32 ?;La gestion des permissions NTFS et la journalisation;Le support des fichiers supérieurs à 4 Go et la compatibilité avec Windows, macOS et Linux;La taille de cluster fixe de 64 Ko et la réparation automatique;Le chiffrement natif des données et la protection contre la corruption;3;exFAT (Extended FAT) prend en charge les fichiers supérieurs à 4 Go (contrairement à FAT32 limité à 4 Go) et est compatible avec Windows, macOS et Linux. Il est conçu pour remplacer FAT32 sur les supports amovibles de grande capacité.
Quel est l'élément central de la structure du système de fichiers NTFS qui contient les informations détaillées sur chaque fichier ?;Le Boot Sector;Le fichier journal (log file);La FAT (File Allocation Table);La MFT (Master File Table);5;La MFT (Master File Table) est l'élément central de NTFS. Chaque fichier ou répertoire possède une entrée dans la MFT. La MFT contient des informations détaillées sur les fichiers. Le Boot Sector contient les informations du volume et les paramètres du système de fichiers.
Comment fonctionne le journal transactionnel NTFS et quel avantage offre-t-il ?;Il enregistre uniquement les erreurs de lecture/écriture et les secteurs défectueux;Avant toute modification, l'opération est enregistrée dans le journal puis exécutée, permettant la récupération après une panne;Il sauvegarde automatiquement les fichiers modifiés dans un dossier de sauvegarde;Il compresse les transactions pour réduire l'espace disque utilisé par les métadonnées;3;NTFS utilise un journal transactionnel : avant toute modification, l'opération est enregistrée dans le journal, puis exécutée. En cas de panne, NTFS analyse le journal au redémarrage et rejoue les transactions interrompues, garantissant la cohérence du système de fichiers.
Qu'est-ce que l'EFS (Encrypting File System) dans NTFS ?;Un système d'audit des accès aux fichiers sensibles;Un mécanisme de compression transparente des fichiers volumineux;Un système de chiffrement transparent des fichiers et de protection des données sensibles;Un système de quotas limitant l'espace disque par utilisateur;4;L'EFS (Encrypting File System) est un mécanisme NTFS permettant le chiffrement transparent des fichiers et la protection des données sensibles. Le chiffrement est lié au compte utilisateur et s'effectue de manière transparente lors des opérations de lecture/écriture.
Quelle est la taille maximale d'un fichier unique et d'un volume NTFS sous Windows Server 2016 ?;4 Go par fichier et 2 To par volume;16 To par fichier et 64 To par volume;256 To par fichier et 256 To par volume;512 Go par fichier et 8 To par volume;4;NTFS sous Windows Server 2016 supporte des fichiers jusqu'à 256 To et des volumes jusqu'à 256 To. Sa longueur maximale de chemin est de 32 000 caractères Unicode. Ces limites sont largement supérieures aux capacités des disques actuels.
Quelle structure d'arbre NTFS utilise-t-il pour organiser les répertoires et améliorer les performances de recherche ?;Arbre binaire AVL;Arbre B simple;Liste chaînée de descripteurs;Arbre B+ Tree;5;NTFS utilise une structure arborescente de type B+ Tree pour organiser les répertoires et localiser rapidement les fichiers. Cette structure améliore les performances par rapport à FAT et permet de gérer de très grands volumes et répertoires contenant de nombreux fichiers.
À partir de quelle version de Windows Server le système ReFS a-t-il été introduit et quel avantage principal offre-t-il ?;Windows Server 2008 R2, pour remplacer complètement NTFS;Windows Server 2012, pour améliorer les fonctionnalités de NTFS avec une résilience supérieure et une meilleure vérification des erreurs;Windows Server 2016, pour supporter des volumes supérieurs à 256 To;Windows Server 2019, pour le support natif des volumes NVMe;3;ReFS (Resilient File System) a été introduit avec Windows Server 2012. Il améliore les fonctionnalités de NTFS avec une résilience supérieure, une meilleure vérification et correction des erreurs et une plus grande évolutivité. Il est conseillé pour Windows Server 2016 avec Hyper-V et les grands stockages.
Comment ReFS assure-t-il l'intégrité des métadonnées lors de chaque lecture ?;Il compare les métadonnées avec une copie en mémoire;Il utilise des sommes de contrôle (checksums) vérifiées à chaque lecture, avec réparation automatique si une erreur est détectée;Il relit deux fois chaque secteur pour détecter les erreurs de lecture;Il journalise toutes les opérations dans un fichier log comme NTFS;3;ReFS vérifie l'intégrité des métadonnées via des sommes de contrôle (checksums) à chaque lecture. Si la vérification échoue (KO), le système effectue une réparation automatique. Si elle réussit (OK), l'accès aux données est accordé normalement.
Quelles tailles maximales de fichiers et de volumes ReFS supporte-t-il ?;256 To par fichier et 256 To par volume;16 To par fichier et 64 To par volume;Environ 16 Eo par fichier et fichiers/volumes jusqu'à 35 Po (2^78 octets);2 Po par fichier et 8 Po par volume;4;ReFS supporte des fichiers jusqu'à environ 16 Eo (Exaoctets) et des volumes jusqu'à 35 Po (Pétaoctets - 2^78 octets avec des clusters de 16 Ko). Ces limites sont bien supérieures à celles de NTFS (256 To), permettant de gérer des infrastructures de stockage massives.
Quelles fonctionnalités NTFS sont absentes (non supportées) dans ReFS ?;La compression et le chiffrement EFS;Le disque système bootable, les quotas disque, les noms courts DOS et les transactions NTFS;Les liens symboliques et les points de jonction;Les listes de contrôle d'accès (ACL) et les permissions de fichiers;3;ReFS ne supporte pas : le disque système bootable (pas de boot), les quotas disque, les noms courts DOS (8.3), ODX (Offloaded Data Transfer) et les transactions NTFS. En revanche, ReFS hérite de BitLocker et des ACL de NTFS.
Quelle technique ReFS utilise-t-il pour protéger les métadonnées contre la corruption lors d'une mise à jour ?;La journalisation transactionnelle comme NTFS;Le mécanisme Copy-on-Write : création d'une nouvelle version avant de remplacer l'ancienne;La réplication en miroir de toutes les métadonnées;Le verrouillage des fichiers pendant les opérations d'écriture;3;ReFS utilise le mécanisme Copy-on-Write (copie sur écriture) pour les métadonnées. Au lieu de modifier directement les informations existantes, il crée une nouvelle version avant de remplacer l'ancienne. Cela réduit fortement les risques de corruption en cas de panne ou d'arrêt brutal.
Quelle est la différence fondamentale entre un disque basique et un disque dynamique sous Windows Server ?;Le disque basique supporte NTFS, le disque dynamique supporte ReFS;Le disque basique est composé de partitions (max 4 primaires), le disque dynamique est divisé en volumes pouvant s'étendre sur plusieurs disques et est redimensionnable sans redémarrage;Le disque basique peut être utilisé avec RAID, le disque dynamique ne le peut pas;Le disque dynamique est plus rapide car il utilise des clusters de 64 Ko;3;Le disque basique utilise des partitions (primaires et étendues, max 4 primaires). Le disque dynamique est divisé en volumes pouvant inclure un ou plusieurs disques, est redimensionnable sans redémarrage et supporte des configurations avancées comme le RAID logiciel.
Qu'est-ce qu'un agrégat par bande (Volume Multiple) sous Windows Server et quel risque présente-t-il ?;Un volume miroir redondant sur 2 disques avec récupération automatique en cas de panne;Un volume utilisant l'espace de plusieurs disques successivement, sans redondance : si un disque tombe, toutes les données sont perdues;Un volume RAID 5 avec parité sur 3 disques minimum pour la tolérance de pannes;Un volume compressé répartissant les données pour optimiser l'espace disque;3;Un Volume Multiple (agrégat) utilise l'espace de plusieurs disques successivement (32 max). Si un disque tombe en panne, toutes les données sont perdues car il n'y a aucune redondance. Les performances sont dégradées car les disques sont lus séquentiellement.
Comment fonctionne le RAID 1 (mirroring) et quelle est sa principale contrainte ?;Les données sont réparties sur 3 disques avec parité, permettant la perte d'un disque;Les données sont dupliquées identiquement sur 2 disques, avec d'excellentes performances en lecture mais nécessitant au moins 2 disques et un rapport prix/espace très défavorable;Les données sont agrégées par bandes sur plusieurs disques pour des performances maximales;Un seul disque est utilisé avec des sauvegardes automatiques sur une copie Shadow;3;RAID 1 (mirroring) duplique identiquement les données sur tous les disques (2 sous Windows). Les performances en lecture sont excellentes. En écriture, c'est équivalent à 1 disque. Si un disque tombe, les données sont toujours disponibles. L'espace utilisable est celui du plus petit disque.
Pourquoi RAID 5 est-il plus performant en lecture que RAID 1 mais moins performant en écriture ?;RAID 5 compresse les données en lecture et les décompresse en écriture;RAID 5 peut lire les données à partir de plusieurs disques simultanément, mais nécessite des calculs de parité lors de chaque écriture;RAID 5 utilise un cache SSD pour les lectures et un cache HDD pour les écritures;RAID 5 accède directement aux secteurs sans table d'allocation en lecture;3;RAID 5 est plus rapide en lecture car il peut lire depuis plusieurs disques simultanément. En écriture, il est plus lent que RAID 1 car il doit calculer et écrire les informations de parité. RAID 5 nécessite au minimum 3 disques et permet la reconstruction des données si un disque tombe.
À quoi servent BitLocker et Shadow Copies dans Windows Server 2016 ?;BitLocker optimise les performances des volumes NTFS et Shadow Copies détecte les erreurs SMART;BitLocker permet le chiffrement complet des volumes et Shadow Copies permet la restauration de versions précédentes de fichiers;BitLocker protège les fichiers système WRP et Shadow Copies gère la réplication RAID;BitLocker surveille l'état des disques et Shadow Copies effectue les sauvegardes automatiques;3;BitLocker permet le chiffrement complet des volumes (protection si le disque est volé). Shadow Copies (Clichés instantanés) permettent la restauration de versions précédentes de fichiers sans restauration complète depuis une sauvegarde.
Quels sont les symptômes et la procédure de remédiation pour une corruption du système de fichiers NTFS ?;Symptômes : lenteurs et redémarrages aléatoires ; remédiation : réinstallation de Windows;Symptômes : fichiers inaccessibles, erreurs de lecture, disque RAW ; remédiation NTFS : chkdsk D: /f /r;Symptômes : conflits d'adresses IP et problèmes réseau ; remédiation : ipconfig /release /renew;Symptômes : accès refusé et héritage cassé ; remédiation : rétablir les ACL;3;La corruption du système de fichiers NTFS se manifeste par des fichiers inaccessibles, des erreurs de lecture et un disque affiché comme RAW. La remédiation pour NTFS est chkdsk D: /f /r. Pour ReFS, on utilise ReFSUtil ou la réparation automatique si Storage Spaces est utilisé.
