Qu'est-ce qu'Apache HTTP Server et quelle est l'origine de son nom ?;Un serveur FTP développé par Red Hat pour les environnements Linux d'entreprise;Un logiciel libre de serveur web maintenu par l'Apache Software Foundation, dont le nom vient du jeu de mots "A Patchy Server" car il était constitué d'une collection de corrections du serveur NCSA HTTPd;Un serveur web propriétaire développé par Microsoft basé sur IIS;Un serveur DNS et web combiné développé par le CERN pour les besoins du web;3;Apache HTTP Server (HTTPD) est un logiciel libre de serveur web maintenu par l'Apache Software Foundation. Son nom vient du jeu de mots "A Patchy Server" car il était à l'origine une collection de corrections (patches) du serveur NCSA HTTPd du National Center for Supercomputing Applications américain.
Quelles sont les trois caractéristiques principales d'Apache HTTPD le rendant très populaire ?;Propriétaire, compatible uniquement Linux, supporte uniquement PHP;Fortement modulaire, compatible multiplate-forme (Linux, Windows, macOS), supporte les langages de scripts (PHP, perl, python);Rapide, léger et spécialisé uniquement dans le contenu statique;Intégré à systemd, gratuit uniquement pour usage académique, supporte uniquement HTTP/1.1;3;Apache HTTPD se distingue par : sa modularité (modules permettant d'ajouter des fonctionnalités), sa compatibilité multiplate-forme (Linux, Windows, macOS) et son support des langages de scripts (PHP, perl, python). Il est gratuit et ouvert.
Quel protocole Apache utilise-t-il pour dialoguer avec les clients et sur quels ports fonctionne-t-il ?;FTP sur le port 21 pour HTTP et 990 pour HTTPS;HTTP (HyperText Transfer Protocol) sur le port 80 par défaut et HTTPS sur le port 443;SMTP sur le port 25 pour HTTP et 465 pour HTTPS;SSH sur le port 22 et HTTPS sur le port 8443;3;Apache dialogue avec les clients via le protocole HTTP (HyperText Transfer Protocol). HTTP est sans état (chaque requête est indépendante) et fonctionne sur le port 80 par défaut. Sa version sécurisée HTTPS utilise le port 443.
Pourquoi dit-on que HTTP est un protocole "sans état" et quel mécanisme permet de palier cette limitation ?;HTTP chiffre chaque requête indépendamment, les cookies permettent de déchiffrer les réponses;Chaque requête HTTP est indépendante et le serveur ne garde pas en mémoire les interactions précédentes, mais le serveur peut utiliser les cookies pour maintenir des informations de session entre requêtes;HTTP ne supporte pas les sessions utilisateurs, les applications doivent donc authentifier à chaque requête;HTTP oublie les connexions après 30 secondes d'inactivité, le keep-alive remédie à ce problème;3;HTTP est "sans état" : chaque requête est indépendante et le serveur ne garde pas en mémoire les interactions précédentes. Cependant, le serveur peut utiliser les cookies pour maintenir des informations de session entre deux requêtes, permettant ainsi de simuler un état (panier d'achat, session utilisateur).
Quel est le rôle des verbes HTTP GET, POST et HEAD ?;GET chiffre une ressource, POST la compresse, HEAD la supprime;GET récupère une ressource (avec des paramètres limités), POST envoie des données volumineuses (formulaire, fichier), HEAD obtient uniquement les entêtes de la réponse sans le corps;GET et POST sont identiques, HEAD est réservé aux administrateurs;GET affiche une ressource, POST la crée, HEAD la met à jour;3;Les principaux verbes HTTP sont : GET (récupérer une ressource, paramètres limités en longueur), POST (envoyer des données volumineuses comme un formulaire ou un fichier) et HEAD (obtenir uniquement les entêtes de la réponse). REST a également remis en avant PUT (remplacer) et DELETE (effacer).
Que signifient les codes de retour HTTP 403, 404 et 500 ?;403 = Not Found, 404 = Bad Request, 500 = Service Unavailable;403 = Forbidden (accès interdit), 404 = Not Found (document introuvable), 500 = Internal Server Error (erreur du serveur);403 = Bad Request, 404 = Forbidden, 500 = Gateway Timeout;403 = Successful, 404 = Internal Server Error, 500 = Not Found;3;Les codes HTTP importants pour l'administrateur : 200 = succès, 400 = Bad Request (requête mal formée), 403 = Forbidden (accès interdit), 404 = Not Found (document introuvable), 500 = Internal Server Error (erreur serveur), 502 = Bad Gateway (mauvaise réponse d'un serveur intermédiaire), 503 = Service Unavailable, 504 = Gateway Timeout.
Quelle amélioration principale apporte HTTP/2 par rapport à HTTP/1.1 ?;HTTP/2 utilise UDP au lieu de TCP pour améliorer la résilience;HTTP/2 apporte le multiplexage complet des requêtes (plusieurs requêtes simultanées dans une connexion TCP), la priorisation des ressources et la compression des entêtes, mais souffre de la limitation de TCP;HTTP/2 supprime le concept de keep-alive pour simplifier la gestion des connexions;HTTP/2 est uniquement compatible avec HTTPS et ne fonctionne plus en HTTP;3;HTTP/2 apporte : le multiplexage complet des requêtes (envoi de plusieurs requêtes dans la même connexion TCP sans attendre les réponses), la priorisation des ressources et la compression des entêtes. Basé sur SPDY de Google, il souffre cependant de l'utilisation de TCP qui limite sa performance en cas de perte de paquets.
Quelle innovation technique HTTP/3 introduit-il et quel est son état de support dans Apache ?;HTTP/3 utilise WebSockets et est pleinement supporté depuis Apache 2.4.17;HTTP/3 est basé sur le protocole de transport QUIC (s'appuyant sur UDP) apportant une réduction de la latence et une meilleure résilience à la perte de paquet, mais son support est encore expérimental dans Apache;HTTP/3 supprime le chiffrement TLS et utilise un chiffrement applicatif intégré;HTTP/3 remplace les Virtual Hosts par des domaines SNI, supporté depuis Apache 2.4.x;3;HTTP/3 est basé sur QUIC, un nouveau protocole de transport s'appuyant sur UDP (au lieu de TCP). Il apporte une réduction de la latence et une meilleure résilience à la perte de paquet. Son support est actuellement expérimental dans Apache (partiellement déployé).
Quel est l'utilitaire de contrôle d'Apache et quelles commandes permettent de vérifier la version installée ?;httpctl avec httpctl version et httpctl info;nginx -v et nginx --version pour Apache;apachectl avec apachectl -v (version) et apachectl -V (version et paramètres de compilation);systemctl apache-version et systemctl apache-info;4;L'utilitaire de contrôle d'Apache est apachectl (situé dans /usr/sbin). Pour obtenir des informations : apachectl -v affiche la version d'Apache, apachectl -V affiche la version et les paramètres de compilation, apachectl -l affiche les modules compilés statiquement dans le binaire httpd.
Quelle option d'apachectl permet de redémarrer Apache sans interrompre les connexions en cours ?;restart : redémarre brutalement en fermant toutes les connexions;stop puis start : arrêt complet puis redémarrage;graceful : redémarre "en douceur" en attendant la fin des requêtes en cours avant de recharger les processus;reload : recharge uniquement la configuration sans toucher les processus;4;La commande apachectl graceful redémarre le démon Apache "en douceur". Contrairement au restart normal, les connexions en cours ne sont pas fermées brutalement. Le serveur attend la fin du traitement des requêtes en cours avant de recharger les processus. L'option graceful-stop fait de même pour l'arrêt.
