Différence fondamentale éditeur et traitement de texte;Vous devez expliquer à un collègue pourquoi LibreOffice n'est pas adapté pour modifier le fichier de configuration réseau sous Linux. Quelle est l'approche d'un éditeur de texte comparée à un traitement de texte ?,Un éditeur de texte manipule le code et les lignes avec précision sans ajouter d'informations de mise en page (polices, tailles). LibreOffice ajouterait des balises de formatage qui corrompraient le fichier de configuration. Il faut utiliser un outil en ligne de commande comme vi ou nano.
L'éditeur ed - Méthode sécurisée de modification;Vous devez modifier le fichier sensible /etc/passwd en utilisant ed. Quelle est la procédure recommandée pour s'entraîner sans risquer de casser le système ?,Il faut d'abord copier le fichier vers un espace personnel de travail. Commande : cp /etc/passwd ~/passwd_test puis lancer l'éditeur avec : ed ~/passwd_test. Cela permet d'utiliser la mémoire tampon (buffer) de ed en toute sécurité.
L'éditeur ed - Adressage de lignes;Dans ed, vous avez ouvert un fichier texte volumineux. Comment afficher la ligne courante, aller à la dernière ligne et afficher les lignes 3 à 8 ?,Tapez .,p pour afficher la ligne courante. Tapez $ pour aller à la dernière ligne. Tapez 3,8p pour afficher l'intervalle des lignes 3 à 8.
L'éditeur ed - Actions structurantes;En utilisant ed, vous devez déplacer les lignes 3 à 6 juste après la ligne 10 de votre fichier.,Tapez la commande d'adressage et de déplacement suivante : 3,6m10.
L'éditeur ed - Substitutions et regex;Toujours dans ed, vous devez remplacer toutes les occurrences du mot auto par automobile sur toutes les lignes du fichier.,Tapez la commande de substitution globale suivante : 1,$s/auto/automobile/g.
L'éditeur ed - Automatisation par script;Vous devez créer un script shell qui utilise ed pour remplacer silencieusement le mot ancien par nouveau dans un fichier nommé config.txt.,Créez un script contenant le bloc Here-Document suivant : ed config.txt <<EOF puis à la ligne suivante 1,$s/ancien/nouveau/g puis à la ligne w puis q puis EOF.
L'éditeur vi - Ouverture sécurisée et sortie;Vous voulez consulter le fichier /var/log/syslog avec vi sans risquer de le modifier par erreur. Si vous y êtes déjà, comment forcer la fermeture sans sauvegarder ?,Ouvrez le fichier avec la commande view /var/log/syslog. Si vous l'avez ouvert avec vi et souhaitez quitter sans enregistrer, passez en mode ex en tapant : puis tapez q! et validez avec Entrée (ou :q pour simplement quitter sans modifications).
L'éditeur vi - Options de confort;Dans vi, vous devez communiquer le numéro d'une ligne contenant une erreur à un collègue et vérifier la présence de caractères invisibles cachés.,Passez en mode ex et activez les numéros de ligne avec :set nu. Ensuite, affichez les caractères invisibles (comme les tabulations ou fins de ligne problématiques) avec la commande :set list.
L'éditeur vi - Navigation rapide;Vous êtes dans un très long fichier avec vi. Comment vous déplacer au 5ème mot, sauter à la ligne 120, puis aller à la fin du fichier sans utiliser la souris ou les flèches ?,Pour avancer de 5 mots tapez 5w. Pour aller à la ligne 120 tapez 120G. Pour aller tout à la fin du document tapez simplement G (majuscule).
L'éditeur vi - Commandes Unix externes;Pendant que vous éditez un fichier avec vi, vous avez besoin de vérifier les droits des fichiers du répertoire courant sans fermer l'éditeur.,Passez en mode ex et tapez :!ls -l pour exécuter la commande Unix ls -l directement depuis l'éditeur. Appuyez ensuite sur Entrée pour revenir à votre fichier.
L'éditeur vi - Annulation et répétition;Dans vi, vous venez d'effacer par erreur un bloc de texte entier. Comment annuler cette action puis répéter la dernière commande de suppression que vous aviez faite juste avant ?,En mode commande tapez la touche u (minuscule) pour annuler la dernière action. Pour répéter une commande précédente, tapez le point . (point).
L'éditeur vi - Édition de base;En mode commande de vi, comment effacer 3 lignes d'un coup, inverser la casse du caractère sous le curseur, et insérer du texte à la toute fin de la ligne courante ?,Tapez 3dd pour effacer trois lignes. Tapez ~ (tilde) pour inverser la casse du caractère. Tapez A (A majuscule) pour passer en mode insertion à la fin de la ligne.
L'éditeur vi - Buffers et registres numérotés;Vous avez supprimé successivement 4 lignes importantes dans vi (avec dd 4 fois de suite). Vous réalisez que vous avez besoin de récupérer la toute première ligne effacée (la plus ancienne des 4).,Vi sauvegarde les 9 dernières suppressions majeures. La suppression la plus récente est dans le registre 1, la précédente dans le 2, etc. La première des 4 suppressions se trouve donc dans le registre 4. Tapez "4p pour coller son contenu après le curseur.
