Quel est l'objectif premier du système d'exploitation dans la gestion des entrées/sorties (E/S) ?,Masquer la complexité technique des périphériques en offrant une interface unifiée et simplifiée.
Le système d'exploitation agit comme un intermédiaire essentiel entre les _____ et le matériel.,applications logicielles
Que se passerait-il si la couche d'abstraction du système d'exploitation n'existait pas pour les E/S ?,"Chaque programme devrait inclure du code spécifique pour chaque type de périphérique, rendant le développement complexe et peu portable."
Comment un périphérique comme une imprimante attire-t-il l'attention du processeur ?,Il génère une interruption.
Quelle est la séquence d'actions du système d'exploitation lorsqu'il intercepte une interruption ?,Il sauvegarde l'état actuel du processeur et exécute une routine dédiée pour traiter l'événement.
Quel est le principal avantage de l'abstraction matérielle offerte par le système d'exploitation pour les logiciels ?,Elle assure l'indépendance matérielle et la portabilité des logiciels sur diverses configurations.
Qu'est-ce qu'un bus dans le contexte des composants matériels ?,"Un ensemble de conducteurs électriques qui transportent des signaux entre les composants comme le processeur, la mémoire et les périphériques."
"Quelle est la fonction principale du bus système (ou Front Side Bus, FSB) ?",Il relie directement le processeur à la mémoire et aux contrôleurs principaux pour assurer un débit élevé.
Donnez des exemples de bus d'E/S conçus pour connecter des périphériques externes.,Le PCI Express (PCIe) ou l'USB.
Pourquoi les architectures modernes privilégient-elles les bus série (comme PCIe) par rapport aux bus parallèles ?,"Ils offrent des débits plus élevés, une meilleure évolutivité et réduisent les problèmes de synchronisation et d'interférences."
Quel est le rôle d'un contrôleur dans la gestion des E/S ?,Il agit comme un intermédiaire intelligent qui traduit les commandes génériques du SE en signaux spécifiques pour un périphérique.
À quoi servent les tampons (buffers) gérés par un contrôleur ?,Ce sont des zones de mémoire temporaire pour stocker les données en transit et lisser les différences de vitesse.
Définition : Couche d’abstraction matérielle (HAL),Un composant logiciel qui isole le noyau du système d’exploitation des spécificités du matériel sous-jacent.
Quel est le principal avantage de la HAL pour la portabilité des systèmes d'exploitation ?,Elle leur permet de s'exécuter sur une grande variété de plates-formes sans modification majeure du noyau.
Comment la HAL simplifie-t-elle le développement de logiciels pour les programmeurs ?,Elle leur évite d'écrire du code spécifique à chaque périphérique en fournissant des appels standardisés.
Qu'est-ce qui caractérise les périphériques de flux (stream devices) ?,"Ils traitent les données de manière séquentielle et continue, sans nécessiter un accès arbitraire à des blocs."
Citez des exemples de périphériques de flux.,"Un clavier, une souris ou une carte son."
Qu'est-ce qui caractérise les périphériques en mode bloc (block devices) ?,Ils organisent les données en blocs de taille fixe qui peuvent être lus ou écrits de manière arbitraire et indépendante.
Citez des exemples de périphériques en mode bloc.,"Les disques durs, les SSD ou les clés USB."
Qu'est-ce qu'un périphérique hybride ?,"Un périphérique qui combine les caractéristiques des modes flux et bloc selon l'opération, comme un graveur de CD/DVD."
Quel composant du système d'exploitation orchestre les interactions entre le logiciel et le matériel ?,Le gestionnaire de périphériques.
Comment le gestionnaire de périphériques gère-t-il les erreurs de manière hiérarchique ?,Il tente de les corriger au niveau du contrôleur ou du pilote avant de les remonter au système d'exploitation.
"Dans l'architecture de bus, quel composant gère les périphériques d'E/S plus lents comme les ports USB ?",Le pont sud (southbridge).
Quel type de bus spécifie où les données doivent être lues ou écrites ?,Le bus d'adresses.
"Quel type de bus transporte les signaux qui déterminent le type d'opération à effectuer (lecture, écriture) ?",Le bus de contrôle.
Quel type de bus transporte les informations elles-mêmes ?,Le bus de données.
Quel est le principal avantage de la standardisation des bus ?,Elle assure la compatibilité et l'évolutivité en permettant aux périphériques de différents fabricants de fonctionner ensemble.
Définition : Accès direct en mémoire (DMA),Une technique permettant aux périphériques d'échanger des données directement avec la mémoire centrale sans solliciter le processeur.
